1,1,54.53,60.4,122.62,59.74,1,1,1.0
1,2,313.75,0.0,400.15999999999997,116.1,1,1,1.0
1,3,101.54,0.0,217.06,63.95,1,1,1.0
2,1,36.72,55.16,117.38,59.74000000000001,1,1,1.0
2,2,313.75,0.0,400.15999999999997,116.1,1,1,1.0
2,3,101.54,0.0,217.06,63.95,1,1,1.0
3,1,22.04,53.07,110.06,54.529999999999994,1,1,1.0
3,2,313.75,0.0,400.15999999999997,116.1,1,1,1.0
3,3,101.54,0.0,217.06,63.95,1,1,1.0
4,1,3.18,53.07,110.05999999999999,54.529999999999994,1,1,1.0
4,2,313.75,0.0,400.15999999999997,116.1,1,1,1.0
4,3,101.54,0.0,217.06,63.95,1,1,1.0
5,1,1.08,52.02,93.32000000000001,50.38,1,1,1.0
5,2,313.75,0.0,400.15999999999997,116.1,1,1,1.0
5,3,101.54,0.0,217.06,63.95,1,1,1.0
6,1,2.13,47.83,73.37,48.269999999999996,1,1,1.0
6,2,313.75,0.0,400.15999999999997,116.1,1,1,1.0
6,3,101.54,0.0,217.06,63.95,1,1,1.0
7,1,0.0,42.59,54.55,48.269999999999996,1,1,1.0
7,2,313.75,0.0,400.15999999999997,116.1,1,1,1.0
7,3,101.54,0.0,217.06,63.95,1,1,1.0
8,1,0.0,42.59,44.1,44.11,1,1,1.0
8,2,313.75,0.0,400.15999999999997,116.1,1,1,1.0
8,3,101.54,0.0,217.06,63.95,1,1,1.0
9,1,0.0,42.59,26.3,44.11,1,1,1.0
9,2,313.75,0.0,400.15999999999997,116.1,1,1,1.0
9,3,101.54,0.0,217.06,63.95,1,1,1.0
10,2,313.75,0.0,400.15999999999997,116.1,1,1,1.0
10,3,101.54,0.0,217.06,63.95,1,1,1.0
11,4,867.81,181.45,88.03000000000009,86.99000000000001,1,1,1.0
11,2,313.75,0.0,400.15999999999997,116.1,1,1,1.0
11,3,101.54,0.0,217.06,63.95,1,1,1.0
12,4,824.84,179.4,133.05999999999995,84.84,1,1,1.0
12,2,313.75,0.0,400.15999999999997,116.1,1,1,1.0
12,3,101.54,0.0,217.06,63.95,1,1,1.0
13,4,780.8,165.8,178.1500000000001,107.88,1,1,1.0
13,2,313.75,0.0,400.15999999999997,116.1,1,1,1.0
13,3,101.54,0.0,217.06,63.95,1,1,1.0
14,4,736.8,140.6,222.1500000000001,133.08,1,1,1.0
14,2,313.75,0.0,400.15999999999997,116.1,1,1,1.0
